15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
13,14,10,10,10,10,10,10,10,10,10,10,10,10,10,10
13,14,27,34,34,34,34,34,34,34,34,34,34,34,34,28
13,14,21,18,18,18,18,18,18,18,18,18,18,18,18,22
12,12,21,18,18,18,18,18,18,18,18,18,18,18,18,22
27,34,18,18,18,18,18,18,18,18,18,18,18,18,18,22
21,18,18,18,18,18,18,18,18,18,18,18,18,18,18,22
21,18,18,18,18,18,18,18,18,18,18,18,18,18,18,22
30,33,33,33,33,33,33,33,33,33,33,33,33,33,33,29
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
42,44,2,2,2,2,2,2,2,2,2,2,2,2,2,2
41,52,42,42,42,42,42,42,42,42,42,42,42,42,42,42
